participant,suppression,t_cong,nt_cong,b_cong,t_incong,nt_incong,b_incong,new,t_recall,nt_recall,b_recall,s_recall,t_delay,nt_delay,b_delay,s_RT,t_rating.cue,t_rating.tar,t_rating.sub,nt_rating.cue,nt_rating.tar,nt_rating.sub
1,1,0.458584984,0.506955051,0.486239513,0.474200773,0.497538805,0.450988483,0.468313432,100,91.66666667,100,83.33333333,148.5,446.4545455,77.16666667,1477.4,2.916666667,4.916666667,1,5,1.666666667,1.666666667
2,2,0.550804758,0.61354363,0.574740012,0.540710592,0.616611163,0.710684204,0.554487563,100,100,100,100,-34.58333333,452.3333333,144.0833333,1024.25,4,2.916666667,1,4,1.833333333,1.333333333
4,2,0.461258173,0.447468996,0.434173346,0.424244213,0.490783978,0.447532606,0.462122666,100,100,80,100,29.09090909,708,211.25,1103.833333,4.545454545,4.818181818,1.090909091,4.4,1.7,4.7
5,1,0.454226637,0.47249186,0.458290219,0.497600698,0.524727384,0.52744298,0.481294575,100,100,100,83.33333333,-248.4,143.9166667,-99.91666667,1162.2,4.2,2.8,1.8,4.75,1.333333333,2.25
6,2,0.457143927,0.455873171,0.494572838,0.504088354,0.505700747,0.507696549,0.495296652,100,83.33333333,100,100,138,855.7,227.1666667,958,4.666666667,4.416666667,1.25,4.916666667,3.666666667,4
7,1,0.433745106,0.458590627,0.458152692,0.43065567,0.444289207,0.450357397,0.449177894,91.66666667,91.66666667,100,100,399.4545455,386.3333333,218.25,1508.75,1.461538462,4.307692308,1.076923077,4.454545455,1.636363636,1.545454545
8,2,0.401045442,0.449537659,0.442724657,0.487833659,0.49268651,0.471141895,0.468187626,100,100,100,100,-3.333333333,497.4166667,-142.75,1289.75,2.923076923,4.923076923,1.230769231,3.090909091,3.454545455,3.909090909
9,1,0.549765865,0.572348038,0.57100935,0.576500714,0.57804505,0.528007944,0.535970521,100,100,100,91.66666667,32,382.75,136.3333333,1203.727273,4.538461538,3.846153846,1.076923077,4.909090909,2.272727273,2
10,2,0.518788338,0.524848739,0.530308819,0.502630154,0.587261152,0.500029127,0.543622075,100,100,91.66666667,91.66666667,-33.5,418.25,-32.72727273,1004.363636,4.153846154,4.384615385,1.384615385,4.363636364,3.636363636,3.818181818
11,1,0.516824643,0.541818857,0.450066646,0.466375709,0.541820327,0.514067372,0.472077004,100,100,100,91.66666667,-1.25,294.6666667,115.25,1223,4.923076923,4.615384615,1.307692308,5,3.545454545,2.909090909
12,2,0.483140151,0.489106059,0.514043967,0.522480488,0.536282698,0.459689319,0.490048961,100,100,100,100,-214.6666667,390.6666667,-47.91666667,NA,1,4.846153846,1.307692308,1,2.636363636,4.909090909
13,1,0.486115495,0.533599496,0.516358376,0.463889321,0.505991618,0.519753218,0.528221215,100,66.66666667,100,83.33333333,0.666666667,567.5,-71.75,1776.9,3.833333333,3.75,1,3.583333333,2.083333333,2.333333333
14,2,0.505870899,0.487182522,0.458430807,0.560994816,0.507497025,0.492008885,0.523990504,100,90.90909091,100,100,-52,730.1,21.75,1123.833333,4.166666667,3.416666667,1,4.363636364,3.363636364,3.363636364
15,1,0.502682487,0.48076117,0.485953848,0.494453033,0.490179164,0.522664666,0.50325023,100,100,100,83.33333333,-81.41666667,295.1666667,61,1483.5,3.5,3.75,1,3.416666667,2.666666667,2.083333333
16,2,0.441789786,0.475274364,0.44185245,0.430728475,0.471709394,0.469235182,0.460407338,100,100,100,91.66666667,-103.9166667,167.8333333,127.3333333,1252.181818,3.916666667,3.833333333,1,3.666666667,3.166666667,3.5
17,1,0.427520847,0.422462622,0.491863728,0.444637338,0.414180676,0.434075117,0.432439953,100,91.66666667,100,75,630.5833333,490.1818182,177.1666667,1790.111111,4.833333333,1.583333333,1,4.833333333,1.583333333,1.25
18,2,0.580742319,0.497110685,0.553847218,0.497396994,0.530848861,0.561308066,0.549947332,100,91.66666667,100,100,28.83333333,389.1818182,249.75,1041.833333,5,4.833333333,1.25,5,3,4
19,1,0.539036949,0.530348102,0.526776028,0.502680659,0.533779573,0.510348988,0.507454787,100,100,100,91.66666667,-12.18181818,345.3333333,90,1327.181818,4.333333333,3.916666667,1.166666667,4.454545455,3,2.727272727
20,2,0.369866967,0.383705656,0.372559309,0.375264525,0.391913017,0.380739848,0.383747737,100,100,100,100,-131.25,509.5833333,-156.5,1149.5,5,4.923076923,1.384615385,5,3.090909091,4.545454545
21,1,0.497507413,0.48300604,0.47086277,0.477977713,0.457463646,0.519689441,0.496125963,100,100,100,100,-163.9166667,614.1666667,44.16666667,1378.166667,4.692307692,4.307692308,1.076923077,4.909090909,2.363636364,2.363636364
22,2,0.513232899,0.487279034,0.504126215,0.450181683,0.483672539,0.488737186,0.509994617,100,91.66666667,90.90909091,100,43.41666667,507.8181818,17.63636364,1541.583333,3.307692308,4.692307692,1.461538462,3.8,2.1,5
23,1,0.437368631,0.492021362,0.438732862,0.463696861,0.450090647,0.472357313,0.447556279,100,100,100,91.66666667,-36.33333333,126,211.4166667,1351,1.692307692,4.384615385,1.076923077,3.363636364,2.090909091,1.727272727
24,2,0.436077038,0.441997051,0.422605475,0.430455367,0.444578052,0.425171018,0.436033071,100,100,100,100,84.33333333,408.3333333,81.91666667,925.4166667,4,4.692307692,1.307692308,4.363636364,2.090909091,4.818181818
25,1,0.553036968,0.572453539,0.566975276,0.557189655,0.569973826,0.539083799,0.560753047,100,100,100,91.66666667,349,569.5,305.1666667,1569.090909,1.916666667,4.916666667,1.333333333,3.833333333,3.25,2.75
26,2,0.45297118,0.522015651,0.480682532,0.425254385,0.491910219,0.464184841,0.476410669,100,100,100,100,-46.58333333,586.8333333,-30.33333333,1156.333333,1.166666667,4.333333333,1,1,2.583333333,4.25
27,1,0.50538516,0.503109614,0.477173289,0.516865929,0.510902524,0.505702972,0.497347756,100,91.66666667,90.90909091,66.66666667,NA,NA,NA,1671.444444,4.083333333,3.666666667,1,4.083333333,3.25,2.333333333
28,2,0.52196455,0.553048809,0.563709354,0.547426558,0.517430019,0.5362432,0.537522232,91.66666667,83.33333333,100,100,37.09090909,639,15.75,1174.083333,3.083333333,4.333333333,1.166666667,2.5,1.666666667,4.75
29,1,0.455669284,0.401577234,0.494543672,0.4638587,0.408629855,0.457329464,0.442837147,100,90,91.66666667,91.66666667,150.7777778,128.5,132.9090909,1482.272727,3.4,4.7,1.2,5,2.2,2.4
30,2,0.564093669,0.504147768,0.514209795,0.518285513,0.584864438,0.567675292,0.544260353,100,100,100,100,66.75,702.25,263,1260.333333,1.583333333,4.916666667,1,1.916666667,2.083333333,4.833333333
31,1,0.467479181,0.453788042,0.484801769,0.480834365,0.458229264,0.45914191,0.485155952,100,100,75,100,-251.4545455,254.8888889,370.8181818,1383.083333,2.833333333,4.25,1.166666667,3.181818182,3.454545455,3
32,2,0.543680429,0.517024422,0.46973296,0.493981075,0.480744839,0.511444807,0.508384109,100,100,91.66666667,100,-236.6363636,693.5833333,21.54545455,1131.916667,3.083333333,4.083333333,1.583333333,2.454545455,2.545454545,4
33,1,0.51962769,0.489025593,0.494114637,0.44371419,0.455081979,0.467508173,0.460468149,100,100,100,100,436.75,461.0833333,7,1444.083333,3.384615385,4.538461538,1.153846154,4.272727273,2.727272727,3
34,2,0.436019142,0.41074214,0.452897469,0.458319982,0.440754652,0.414075812,0.443781942,100,91.66666667,100,100,179.8333333,610.3636364,424.5833333,1139.75,3.615384615,3.769230769,1.384615385,3.909090909,2.272727273,3.909090909
35,1,0.547557116,0.514225483,0.552645485,0.523996687,0.547452509,0.485870997,0.516893332,100,90.90909091,100,100,-114.9166667,401.1,177.25,1436.666667,5,4.307692308,1.153846154,5,2,2.3
36,2,0.543354571,0.580729008,0.558522344,0.553895998,0.566863855,0.533548911,0.533945415,100,100,100,100,-83.58333333,506.9090909,56.25,1000.083333,5,4.769230769,1.307692308,5,2.4,5
37,1,0.467502403,0.460814039,0.455243051,0.472544988,0.499491056,0.480683605,0.470092795,100,91.66666667,90.90909091,100,-332.8181818,291.2727273,2.7,1187.416667,3.909090909,4.545454545,1.090909091,4.333333333,3.833333333,4.333333333
38,2,0.460054318,0.380541444,0.411327322,0.447505395,0.480672797,0.466454824,0.450769698,100,91.66666667,100,100,-154.5454545,180,150.75,1317.916667,5,5,1,4.916666667,3.75,4.083333333
39,1,0.432948271,0.494777322,0.491926471,0.447295666,0.500605583,0.427614594,0.469362824,100,91.66666667,100,75,-68,156.1818182,66.33333333,1963.444444,4.916666667,2.416666667,1.166666667,5,2.166666667,2.583333333
40,2,0.45085597,0.450027823,0.477930625,0.491945783,0.467004379,0.488674521,0.46795425,100,83.33333333,100,100,-97.81818182,107.4,-259.3636364,1082.583333,4.909090909,4,1,4.916666667,2.666666667,4.5
41,1,0.50580883,0.48348999,0.48712163,0.539171696,0.499832153,0.514009953,0.513547917,100,100,100,41.66666667,3.636363636,181.1666667,234,2010.8,4,5,1.272727273,5,1.75,1.333333333
42,2,0.503029823,0.505858719,0.485812982,0.550601006,0.577824672,0.571766814,0.548582409,100,75,100,100,-216.1818182,809.3333333,-61.75,1053.333333,1.818181818,4.909090909,1,2.166666667,3.083333333,4.166666667
43,1,0.54179283,0.569509029,0.590306997,0.570707989,0.555215955,0.580913385,0.557588914,91.66666667,91.66666667,100,91.66666667,153,830.7272727,-72.16666667,1498.272727,4.769230769,4.538461538,2,4.727272727,3,4
44,2,0.572168986,0.547471523,0.619707982,0.553027153,0.564006488,0.604988297,0.591130766,100,33.33333333,100,100,81.58333333,545.5,533.25,1132.166667,2.769230769,4.769230769,1.076923077,3.090909091,1.090909091,5
45,1,0.451731741,0.397470236,0.458705028,0.454112577,0.489146292,0.464059782,0.477294155,91.66666667,90.90909091,100,50,-55.90909091,-9.9,-352.7777778,1628.666667,4.461538462,2.538461538,1.076923077,4.4,2.6,1.9
46,2,0.389902163,0.414174159,0.40305082,0.439262191,0.460885048,0.422570705,0.427372363,100,91.66666667,100,91.66666667,-358.2727273,479.3636364,166.8333333,1078.727273,5,4.416666667,1.416666667,5,3.272727273,4.272727273
47,1,0.450165669,0.446890632,0.422369679,0.422931337,0.436395288,0.447557271,0.446479753,100,83.33333333,91.66666667,100,-47.66666667,670.3,14,1289.416667,4.692307692,4.307692308,1.076923077,5,1.363636364,1.818181818
48,2,0.488473177,0.474835674,0.427519878,0.600666189,0.522370617,0.564325412,0.504345941,100,100,100,100,181.25,713,147.4166667,1121.083333,5,4.692307692,1.307692308,5,1.818181818,4.818181818