filename,chronset,participant,phase,order,ID,manual
mic_learn_test_8.wav,822,1,pre,8,1,1205
mic_recall_36.wav,1278,1,post,36,7,2041
mic_learn_test_10.wav,1230,4,pre,10,18,2372
mic_recall_9.wav,1568,4,post,9,7,2767
mic_learn_test_19.wav,722,5,pre,19,13,1156
mic_learn_test_2.wav,706,5,pre,2,18,1302
mic_recall_11.wav,633,5,post,11,13,992
mic_recall_15.wav,645,5,post,15,10,971
mic_recall_30.wav,686,5,post,30,1,1119
mic_recall_9.wav,687,5,post,9,28,995
mic_learn_test_32.wav,637,7,pre,32,25,953
mic_learn_test_43.wav,809,7,pre,43,11,1134
mic_recall_2.wav,869,7,post,2,18,2500
mic_recall_24.wav,1417,7,post,24,14,2198
mic_recall_26.wav,991,7,post,26,22,1292
mic_recall_36.wav,610,7,post,36,16,1309
mic_recall_8.wav,1160,7,post,8,1,1531
mic_sub_recall_4.wav,1624,7,sub,4,6,2853
mic_sub_recall_7.wav,1593,7,sub,7,11,1969
mic_learn_test_14.wav,1433,8,pre,14,2,1906
mic_recall_15.wav,502,8,post,15,11,1012.9999999999999
mic_recall_18.wav,1108,8,post,18,7,1497
mic_recall_24.wav,535,8,post,24,32,1022.9999999999999
mic_recall_35.wav,585,8,post,35,14,1455
mic_recall_36.wav,1832,8,post,36,10,2243
mic_sub_recall_9.wav,530,8,sub,9,6,1373
mic_learn_test_1.wav,663,11,pre,1,3,1076
mic_learn_test_12.wav,703,11,pre,12,21,1272
mic_learn_test_25.wav,910,11,pre,25,33,1583
mic_learn_test_3.wav,534,11,pre,3,32,858
mic_learn_test_31.wav,734,11,pre,31,16,1279
mic_learn_test_36.wav,653,11,pre,36,2,1006.9999999999999
mic_recall_1.wav,631,11,post,1,32,942
mic_recall_19.wav,869,11,post,19,15,1183
mic_recall_2.wav,1121,11,post,2,25,1773
mic_recall_23.wav,685,11,post,23,22,1077
mic_recall_25.wav,826,11,post,25,36,1336
mic_recall_5.wav,841,11,post,5,16,3000
mic_sub_recall_10.wav,1629,11,sub,10,19,2135
mic_learn_test_3.wav,897,12,pre,3,28,1207
mic_recall_32.wav,2357,14,post,32,22,2871
mic_recall_33.wav,971,14,post,33,18,3000
mic_recall_6.wav,890,14,post,6,17,1227
mic_learn_test_36.wav,689,15,pre,36,22,1020
mic_recall_11.wav,700,15,post,11,20,1187
mic_recall_8.wav,939,15,post,8,22,1622
mic_recall_33.wav,903,16,post,33,14,1300
mic_recall_17.wav,1521,17,post,17,11,2056
mic_learn_test_13.wav,980,18,pre,13,17,2025
mic_learn_test_18.wav,980,18,pre,18,6,1332
mic_learn_test_31.wav,882,18,pre,31,10,1212
mic_recall_20.wav,784,18,post,20,34,1273
mic_sub_recall_12.wav,963,18,sub,12,32,2562
mic_sub_recall_8.wav,1011,19,sub,8,2,1472
mic_learn_test_24.wav,586,20,pre,24,8,1401
mic_learn_test_16.wav,752,21,pre,16,19,1165
mic_learn_test_34.wav,704,21,pre,34,17,1406
mic_learn_test_36.wav,554,21,pre,36,36,1706
mic_learn_test_39.wav,811,21,pre,39,13,1255
mic_learn_test_5.wav,961,21,pre,5,28,1398
mic_recall_15.wav,583,21,post,15,19,1266
mic_recall_17.wav,510,21,post,17,14,927
mic_recall_22.wav,956,21,post,22,1,1893
mic_recall_27.wav,996,21,post,27,11,1732
mic_recall_33.wav,751,21,post,33,4,1584
mic_recall_35.wav,905,21,post,35,7,1440
mic_recall_6.wav,981,21,post,6,10,1371
mic_sub_recall_7.wav,1570,21,sub,7,12,1935
mic_learn_test_37.wav,1579,22,pre,37,1,2139
mic_learn_test_38.wav,529,22,pre,38,26,1822
mic_learn_test_42.wav,1038,22,pre,42,20,1853
mic_learn_test_5.wav,2015,22,pre,5,11,2560
mic_recall_16.wav,956,22,post,16,9,1522
mic_recall_22.wav,632,22,post,22,27,1441
mic_recall_25.wav,950,22,post,25,26,1391
mic_recall_31.wav,1622,22,post,31,6,1932
mic_learn_test_4.wav,650,23,pre,4,11,1188
mic_recall_1.wav,655,23,post,1,22,1181
mic_recall_18.wav,765,23,post,18,25,1135
mic_recall_20.wav,704,23,post,20,13,1697
mic_sub_recall_4.wav,572,23,sub,4,22,1903
mic_recall_23.wav,1135,24,post,23,11,1717
mic_sub_recall_9.wav,1093,24,sub,9,23,1503
mic_recall_1.wav,891,25,post,1,20,1342
mic_recall_21.wav,1160,25,post,21,18,1463
mic_recall_24.wav,856,25,post,24,13,1523
mic_recall_4.wav,1060,25,post,4,7,1531
mic_recall_5.wav,1225,25,post,5,22,1818
mic_sub_recall_10.wav,1136,25,sub,10,15,1540
mic_sub_recall_11.wav,1126,25,sub,11,17,1639
mic_sub_recall_12.wav,1134,25,sub,12,14,1679
mic_sub_recall_9.wav,1373,25,sub,9,19,2384
mic_recall_21.wav,1083,26,post,21,13,1392
mic_recall_22.wav,652,26,post,22,27,1028
mic_recall_17.wav,514,29,post,17,1,923
mic_recall_21.wav,874,30,post,21,7,2148
mic_recall_28.wav,878,30,post,28,1,1361
mic_learn_test_5.wav,947,31,pre,5,18,1270
mic_recall_10.wav,1843,31,post,10,10,2599
mic_recall_11.wav,1258,31,post,11,1,2027.0000000000002
mic_recall_15.wav,581,31,post,15,32,1183
mic_recall_16.wav,717,31,post,16,17,1113
mic_learn_test_18.wav,873,32,pre,18,11,1210
mic_recall_35.wav,1183,32,post,35,8,1940
mic_recall_36.wav,2327,32,post,36,11,2750
mic_learn_test_2.wav,688,34,pre,2,26,1180
mic_learn_test_4.wav,507,34,pre,4,35,934
mic_learn_test_5.wav,1084,34,pre,5,10,1805
mic_recall_15.wav,1991,34,post,15,9,2358
mic_recall_21.wav,2084,34,post,21,19,3000
mic_recall_23.wav,1044,34,post,23,33,1486
mic_recall_31.wav,954,34,post,31,35,1471
mic_recall_5.wav,814,34,post,5,11,1430
mic_recall_14.wav,691,35,post,14,31,1000
mic_recall_22.wav,903,35,post,22,35,1285
mic_recall_8.wav,1195,35,post,8,7,1634
mic_sub_recall_10.wav,1821,35,sub,10,17,2358
mic_learn_test_41.wav,2022,36,pre,41,24,2323
mic_sub_recall_9.wav,1193,36,sub,9,19,1570
mic_learn_test_24.wav,1849,37,pre,24,4,2697
mic_recall_16.wav,648,37,post,16,7,1004.9999999999999
mic_recall_20.wav,1747,37,post,20,14,2148
mic_sub_recall_9.wav,1163,37,sub,9,18,1546
mic_learn_test_29.wav,1430,38,pre,29,14,1779
mic_recall_27.wav,822,38,post,27,16,1310
mic_recall_6.wav,659,38,post,6,1,1121
mic_learn_test_11.wav,533,39,pre,11,7,1099
mic_learn_test_19.wav,753,39,pre,19,8,1241
mic_learn_test_22.wav,522,39,pre,22,24,1345
mic_learn_test_25.wav,1514,39,pre,25,18,2925
mic_learn_test_29.wav,642,39,pre,29,10,1311
mic_learn_test_34.wav,567,39,pre,34,1,1069
mic_learn_test_36.wav,626,39,pre,36,5,927
mic_recall_12.wav,1074,39,post,12,14,2069
mic_recall_17.wav,1215,39,post,17,35,1833
mic_recall_20.wav,1376,39,post,20,23,1760
mic_recall_21.wav,731,39,post,21,25,1501
mic_recall_22.wav,1026,39,post,22,28,1530
mic_recall_34.wav,1049,39,post,34,7,1753
mic_recall_9.wav,564,39,post,9,16,1957
mic_sub_recall_2.wav,943,39,sub,2,35,2193
mic_learn_test_33.wav,1234,40,pre,33,7,1559
mic_learn_test_34.wav,588,40,pre,34,1,1020
mic_learn_test_42.wav,685,40,pre,42,32,990
mic_recall_30.wav,1555,40,post,30,11,2220
mic_recall_8.wav,1111,40,post,8,7,1630
mic_recall_9.wav,1106,40,post,9,27,1413
mic_learn_test_18.wav,1128,41,pre,18,22,1527
mic_learn_test_31.wav,562,41,pre,31,6,878
mic_learn_test_32.wav,1622,41,pre,32,14,2386
mic_learn_test_33.wav,596,41,pre,33,5,960
mic_learn_test_38.wav,561,41,pre,38,4,1178
mic_recall_23.wav,883,41,post,23,24,1416
mic_recall_25.wav,978,41,post,25,32,1430
mic_recall_7.wav,1497,41,post,7,22,1875
mic_recall_35.wav,503,42,post,35,7,1613
mic_recall_4.wav,1612,42,post,4,31,1927
mic_learn_test_31.wav,880,44,pre,31,13,1390
mic_learn_test_33.wav,2239,44,pre,33,10,2546
mic_learn_test_39.wav,849,44,pre,39,14,1287
mic_recall_14.wav,922,44,post,14,19,2773
mic_recall_24.wav,1766,44,post,24,28,3000
mic_recall_27.wav,1666,44,post,27,4,2242
mic_recall_16.wav,714,45,post,16,17,1337
mic_recall_24.wav,845,45,post,24,2,1378
mic_recall_29.wav,804,45,post,29,10,1366
mic_recall_33.wav,645,45,post,33,7,1466
mic_recall_6.wav,705,45,post,6,14,1362
mic_sub_recall_10.wav,871,45,sub,10,3,3000
mic_learn_test_20.wav,1424,46,pre,20,19,2862
mic_learn_test_12.wav,2144,47,pre,12,29,2521
mic_learn_test_41.wav,1074,47,pre,41,22,1639
mic_recall_15.wav,585,47,post,15,29,1701
mic_recall_18.wav,1046,47,post,18,20,2471
mic_recall_29.wav,1692,47,post,29,11,2382
mic_sub_recall_11.wav,1876,47,sub,11,22,2522
mic_recall_1.wav,1147,48,post,1,24,1469
mic_recall_18.wav,1775,48,post,18,22,2553
mic_sub_recall_12.wav,830,48,sub,12,24,1588
mic_sub_recall_9.wav,802,48,sub,9,17,2921
